Municipio,codigo_dane,Departamento,hurtos_totales_promedio,hurtos_auto_promedio,hurtos_moto_promedio,recuperacion_total,captura_total,proporcion_motos,latitud,longitud,tasa_recuperacion,tasa_captura,categoria_hurtos,categoria_recuperacion,cluster_kmeans_geo1_robusto_limpio_id,cluster_kmeans_geo1_robusto_limpio_label,cluster_kmeans_geo1_robusto_limpio_orden
MAHATES,13433000,BOLIVAR,88,6,82,55,19,0.9294117647058824,10.233285,-75.191643,0.625,0.2159090909090909,Alto,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MAICAO,44430000,GUAJIRA,4477,568,3909,1430,275,0.8669226106284098,11.378535,-72.242738,0.3194103194103194,0.0614250614250614,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
MAJAGUAL,70429000,SUCRE,75,1,74,103,8,0.9857142857142858,8.541163,-74.628077,1.3733333333333333,0.1066666666666666,Alto,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MALAGA,68432000,SANTANDER,19,3,16,38,3,0.8421052631578947,6.703081,-72.732089,2.0,0.1578947368421052,Moderado,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MALAMBO,8433000,ATLANTICO,1494,242,1252,511,217,0.8390564444956065,10.857086,-74.776923,0.3420348058902275,0.14524765729585,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
MALLAMA,52435000,NARINO,49,19,30,115,13,0.6304347826086957,1.141037,-77.864549,2.346938775510204,0.2653061224489796,Alto,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
MANATI,8436000,ATLANTICO,41,2,39,58,7,0.9487179487179488,10.449089,-74.956867,1.4146341463414631,0.1707317073170731,Moderado,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MANAURE,44560000,CESAR,42,18,24,59,4,0.5714285714285714,11.773767,-72.438739,1.4047619047619049,0.0952380952380952,Moderado,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MANAURE,44560000,GUAJIRA,399,115,284,328,29,0.715126811594203,11.773767,-72.438739,0.8220551378446115,0.0726817042606516,Muy Alto,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MANI,85139000,CASANARE,134,8,126,73,9,0.9385964912280702,4.81681,-72.281384,0.5447761194029851,0.0671641791044776,Alto,Grave,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
MANIZALES (CT),17001000,CALDAS,787,216,571,868,155,0.7276536312849162,5.057657,-75.491025,1.1029224904701398,0.1969504447268106,Muy Alto,Buena,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
MANTA,25436000,CUNDINAMARCA,2,0,2,14,1,1.0,5.009008,-73.540444,7.0,0.5,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MANZANARES,17433000,CALDAS,30,2,28,42,9,0.9285714285714286,5.255699,-75.152829,1.4,0.3,Moderado,Buena,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
MAPIRIPAN,50325000,META,26,5,21,25,0,0.8,2.896617,-72.135509,0.9615384615384616,0.0,Moderado,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MARGARITA,13440000,BOLIVAR,10,0,10,13,2,1.0,9.153489,-74.286785,1.3,0.2,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MARIA LA BAJA,13442000,BOLIVAR,146,6,140,133,13,0.958041958041958,9.982402,-75.300516,0.910958904109589,0.0890410958904109,Alto,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MARINILLA,5440000,ANTIOQUIA,969,189,780,404,44,0.8059911540008041,6.173995,-75.339345,0.4169246646026832,0.045407636738906,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
MARIPI,15442000,BOYACA,4,1,3,9,0,0.75,5.550091,-74.00405,2.25,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MARIQUITA,73443000,TOLIMA,320,55,265,221,21,0.821917808219178,5.199708,-74.889276,0.690625,0.065625,Muy Alto,Mala,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
MARMATO,17442000,CALDAS,44,0,44,41,7,1.0,5.47422,-75.600049,0.9318181818181818,0.1590909090909091,Alto,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MARQUETALIA,17444000,CALDAS,15,2,13,24,14,0.8666666666666667,5.297525,-75.053097,1.6,0.9333333333333332,Moderado,Buena,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
MARSELLA,66440000,RISARALDA,29,8,21,76,5,0.7037037037037037,4.935771,-75.73879,2.6206896551724137,0.1724137931034483,Moderado,Muy Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
MARULANDA,17446000,CALDAS,1,0,1,2,0,1.0,5.284304,-75.259721,2.0,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MATANZA,68444000,SANTANDER,12,0,12,38,2,1.0,7.323175000000001,-73.015566,3.1666666666666665,0.1666666666666666,Moderado,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MEDELLIN (CT),5001000,ANTIOQUIA,94576,18073,76503,27099,4178,0.7926432531194987,6.246631,-75.581775,0.2865314667568939,0.0441761123329385,Muy Alto,Grave,cluster_extremo,Cluster de ciudades principales con intensidad delictiva extrema,1.0
MEDINA,25438000,CUNDINAMARCA,17,4,13,32,1,0.75,4.506298,-73.348449,1.8823529411764703,0.0588235294117647,Moderado,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MEDIO SAN JUAN,27450000,CHOCO,2,0,2,1,0,1.0,5.098291,-76.694409,0.5,0.0,Leve,Grave,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MELGAR,73449000,TOLIMA,362,88,274,279,32,0.7470059880239521,4.203655,-74.641317,0.7707182320441989,0.0883977900552486,Muy Alto,Mala,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
MERCADERES,19450000,CAUCA,237,59,178,311,6,0.7431192660550459,1.789193,-77.164319,1.3122362869198312,0.0253164556962025,Muy Alto,Buena,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
MESETAS,50330000,META,102,13,89,49,3,0.868421052631579,3.382732,-74.044328,0.4803921568627451,0.0294117647058823,Alto,Grave,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
MILAN,18460000,CAQUETA,13,3,10,20,5,0.7692307692307693,1.29021,-75.506926,1.5384615384615383,0.3846153846153846,Moderado,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
MIRAFLORES,15455000,BOYACA,3,1,2,28,0,0.6666666666666666,5.196515,-73.14563,9.333333333333334,0.0,Leve,Muy Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
MIRAFLORES,15455000,GUAVIARE,6,0,6,6,0,1.0,5.196515,-73.14563,1.0,0.0,Leve,Mala,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
MIRANDA,19455000,CAUCA,651,129,522,496,24,0.7976613380698638,3.254651,-76.228722,0.7619047619047619,0.0368663594470046,Muy Alto,Mala,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
MISTRATO,66456000,RISARALDA,14,0,14,44,3,1.0,5.297039,-75.882886,3.142857142857143,0.2142857142857142,Moderado,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MITU (CT),97001000,VAUPES,33,0,33,50,14,1.0,1.253151,-70.232641,1.5151515151515151,0.4242424242424242,Moderado,Buena,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
MOCOA (CT),86001000,PUTUMAYO,1096,22,1074,770,119,0.977765726681128,1.151172,-76.654238,0.7025547445255474,0.1085766423357664,Muy Alto,Mala,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
MOGOTES,68464000,SANTANDER,7,0,7,14,4,1.0,6.475246,-72.969807,2.0,0.5714285714285714,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MOLAGAVITA,68468000,SANTANDER,3,0,3,5,0,1.0,6.67432,-72.809175,1.6666666666666667,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MOMIL,23464000,CORDOBA,47,0,47,27,1,1.0,9.240707,-75.67796,0.574468085106383,0.0212765957446808,Alto,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MOMPOS,13468000,BOLIVAR,135,1,134,155,15,0.992248062015504,9.244241,-74.42818,1.148148148148148,0.1111111111111111,Alto,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MONGUA,15464000,BOYACA,7,0,7,9,3,1.0,5.754242,-72.79809,1.2857142857142858,0.4285714285714285,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MONGUI,15466000,BOYACA,8,1,7,9,0,0.875,5.723486,-72.849292,1.125,0.0,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MONIQUIRA,15469000,BOYACA,70,22,48,58,8,0.6791044776119403,5.876331,-73.573374,0.8285714285714286,0.1142857142857142,Alto,Mala,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
MONITOS,23500000,CORDOBA,14,0,14,31,0,1.0,9.245223,-76.1291,2.2142857142857144,0.0,Moderado,Muy Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MONTEBELLO,5467000,ANTIOQUIA,27,3,24,23,5,0.9230769230769232,5.946313,-75.523455,0.8518518518518519,0.1851851851851851,Moderado,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MONTECRISTO,13458000,BOLIVAR,7,1,6,6,0,0.8571428571428571,8.297234,-74.471176,0.8571428571428571,0.0,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MONTELIBANO,23466000,CORDOBA,563,11,552,367,25,0.9791666666666666,7.973777,-75.416818,0.6518650088809946,0.0444049733570159,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
MONTENEGRO,63470000,QUINDIO,195,32,163,103,12,0.8368983957219251,4.565057,-75.749827,0.5282051282051282,0.0615384615384615,Muy Alto,Grave,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
MONTERIA (CT),23001000,CORDOBA,3697,150,3547,2312,233,0.9604274870155812,8.759789,-75.873096,0.6253719231809576,0.0630240735731674,Muy Alto,Grave,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
MONTERREY,85162000,CASANARE,106,12,94,84,8,0.8823529411764706,4.877017,-72.894065,0.7924528301886793,0.0754716981132075,Alto,Mala,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
MORALES,19473000,BOLIVAR,27,3,24,51,2,0.875,2.754684,-76.629106,1.8888888888888888,0.074074074074074,Moderado,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
MORALES,19473000,CAUCA,294,40,254,220,6,0.8584558823529411,2.754684,-76.629106,0.7482993197278912,0.0204081632653061,Muy Alto,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
MORELIA,18479000,CAQUETA,47,2,45,33,5,0.9666666666666668,1.486611,-75.724146,0.7021276595744681,0.1063829787234042,Alto,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
MORROA,70473000,SUCRE,126,3,123,57,14,0.976,9.331395,-75.305949,0.4523809523809524,0.1111111111111111,Alto,Grave,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MOSQUERA,25473000,CUNDINAMARCA,805,308,497,282,36,0.6078696741854637,4.70653,-74.221154,0.3503105590062111,0.0447204968944099,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
MOTAVITA,15476000,BOYACA,11,5,6,16,3,0.5454545454545454,5.5777,-73.367841,1.4545454545454546,0.2727272727272727,Leve,Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
MURILLO,73461000,TOLIMA,4,0,4,3,1,1.0,4.874341,-75.171022,0.75,0.25,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MUTATA,5480000,ANTIOQUIA,86,6,80,151,16,0.927710843373494,7.242875,-76.435875,1.755813953488372,0.1860465116279069,Alto,Muy Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
MUTISCUA,54480000,NORTE DE SANTANDER,9,2,7,16,6,0.7777777777777778,7.300469,-72.747169,1.7777777777777777,0.6666666666666666,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
MUZO,15480000,BOYACA,11,2,9,27,0,0.8181818181818182,5.532758,-74.10269,2.4545454545454546,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
NARINO,52480000,ANTIOQUIA,9,0,9,17,0,1.0,1.2889790000000003,-77.357972,1.8888888888888888,0.0,Leve,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
NARINO,52480000,CUNDINAMARCA,4,1,3,9,0,0.75,1.288979,-77.357972,2.25,0.0,Leve,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
NARINO,52480000,NARINO,16,6,10,83,5,0.625,1.288979,-77.357972,5.1875,0.3125,Moderado,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
NATAGA,41483000,HUILA,48,5,43,67,1,0.9148936170212766,2.5451,-75.808756,1.3958333333333333,0.0208333333333333,Alto,Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
NATAGAIMA,73483000,TOLIMA,56,21,35,47,6,0.6153846153846154,3.624324,-75.093182,0.8392857142857143,0.1071428571428571,Alto,Mala,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
NECHI,5495000,ANTIOQUIA,34,2,32,25,0,0.9411764705882352,8.094129,-74.77647,0.7352941176470589,0.0,Moderado,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
NECOCLI,5490000,ANTIOQUIA,158,10,148,199,5,0.9391891891891893,8.434526,-76.787271,1.259493670886076,0.0316455696202531,Muy Alto,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
NEIRA,17486000,CALDAS,46,9,37,50,6,0.7976190476190477,5.166895,-75.520006,1.0869565217391304,0.1304347826086956,Alto,Buena,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
NEIVA (CT),41001000,HUILA,6038,221,5817,2347,527,0.9620682925516164,2.935432,-75.277327,0.3887048691619741,0.0872805564756541,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
NEMOCON,25486000,CUNDINAMARCA,53,11,42,46,8,0.7755102040816326,5.068705,-73.877888,0.8679245283018868,0.1509433962264151,Alto,Mala,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
NILO,25488000,CUNDINAMARCA,25,6,19,79,4,0.782608695652174,4.305838,-74.620009,3.16,0.16,Moderado,Muy Buena,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
NIMAIMA,25489000,CUNDINAMARCA,14,8,6,23,5,0.4285714285714285,5.125992,-74.38604,1.6428571428571428,0.3571428571428571,Moderado,Muy Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
NOBSA,15491000,BOYACA,19,6,13,27,3,0.6666666666666666,5.768046,-72.937042,1.4210526315789471,0.1578947368421052,Moderado,Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
NOCAIMA,25491000,CUNDINAMARCA,18,11,7,26,3,0.34375,5.069466,-74.379093,1.4444444444444444,0.1666666666666666,Moderado,Buena,3,"Cluster de baja intensidad delictiva, alta recuperacion y predominio de automotores",8.0
NORCASIA,17495000,CALDAS,9,3,6,12,1,0.75,5.574796,-74.889543,1.3333333333333333,0.1111111111111111,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
NOROSI,13490000,BOLIVAR,14,2,12,12,0,0.8571428571428571,8.526259,-74.038003,0.8571428571428571,0.0,Moderado,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
NOVITA,27491000,CHOCO,2,0,2,8,1,1.0,4.956063,-76.609467,4.0,0.5,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
NUEVA GRANADA,47460000,MAGDALENA,42,12,30,55,5,0.7142857142857143,9.80186,-74.391841,1.3095238095238095,0.119047619047619,Alto,Buena,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
NUEVO COLON,15494000,BOYACA,12,1,11,8,0,0.9166666666666666,5.355317,-73.456759,0.6666666666666666,0.0,Moderado,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
NUNCHIA,85225000,CASANARE,31,5,26,12,0,0.8448275862068966,5.636474,-72.195323,0.3870967741935484,0.0,Moderado,Grave,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
NUQUI,27495000,CHOCO,0,0,0,1,0,,5.709812,-77.265507,,,Leve,,,,
OBANDO,76497000,VALLE,43,15,28,71,8,0.6428571428571429,4.575712,-75.974709,1.6511627906976745,0.1860465116279069,Alto,Muy Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
OCAMONTE,68498000,SANTANDER,5,0,5,5,0,1.0,6.339988,-73.122563,1.0,0.0,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
OCANA,54498000,NORTE DE SANTANDER,2118,128,1990,1698,183,0.9390758387929322,8.248574,-73.35607,0.8016997167138811,0.0864022662889518,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
OIBA,68500000,SANTANDER,14,3,11,34,1,0.7857142857142857,6.26521,-73.299791,2.4285714285714284,0.0714285714285714,Moderado,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
OICATA,15500000,BOYACA,4,0,4,4,4,1.0,5.595235,-73.308399,1.0,1.0,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
OLAYA,5501000,ANTIOQUIA,11,1,10,9,0,0.8571428571428571,6.626492,-75.811773,0.8181818181818182,0.0,Leve,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
OLAYA HERRERA,52490000,NARINO,0,0,0,13,0,,2.347457,-78.325814,,,Leve,,,,
ONZAGA,68502000,SANTANDER,2,0,2,3,0,1.0,6.344104,-72.816766,1.5,0.0,Leve,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
OPORAPA,41503000,HUILA,75,1,74,52,5,0.9855072463768116,2.025088,-75.995165,0.6933333333333334,0.0666666666666666,Alto,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
ORITO,86320000,PUTUMAYO,313,18,295,248,31,0.94314381270903,0.663593,-76.873276,0.792332268370607,0.0990415335463258,Muy Alto,Mala,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
OROCUE,85230000,CASANARE,49,3,46,28,10,0.9387755102040816,4.790258,-71.338533,0.5714285714285714,0.2040816326530612,Alto,Grave,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
ORTEGA,73504000,TOLIMA,91,14,77,57,12,0.8511904761904762,3.934916,-75.222601,0.6263736263736264,0.1318681318681318,Alto,Mala,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
OSPINA,52506000,NARINO,26,7,19,48,0,0.72,1.058433,-77.566082,1.8461538461538465,0.0,Moderado,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
OTANCHE,15507000,BOYACA,9,2,7,27,4,0.7777777777777778,5.657536,-74.180965,3.0,0.4444444444444444,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
OVEJAS,70508000,SUCRE,72,11,61,59,5,0.85,9.527176,-75.229037,0.8194444444444444,0.0694444444444444,Alto,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
PACHAVITA,15511000,BOYACA,0,0,0,3,0,,5.140065,-73.396953,,,Leve,,,,
PACHO,25513000,CUNDINAMARCA,33,12,21,73,10,0.625,5.136907000000001,-74.156132,2.212121212121212,0.303030303030303,Moderado,Muy Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
PACORA,17513000,CALDAS,16,2,14,19,3,0.875,5.527172,-75.459621,1.1875,0.1875,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PADILLA,19513000,CAUCA,213,85,128,136,13,0.5943877551020408,3.220984,-76.313265,0.6384976525821596,0.0610328638497652,Muy Alto,Mala,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
PAEZ,19517000,BOYACA,3,0,3,0,0,1.0,2.645724,-75.970685,0.0,0.0,Leve,Grave,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PAEZ,19517000,CAUCA,195,59,136,153,1,0.7028985507246377,2.645724,-75.970685,0.7846153846153846,0.0051282051282051,Muy Alto,Mala,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PAICOL,41518000,HUILA,46,7,39,81,1,0.8372093023255814,2.449651,-75.773158,1.7608695652173914,0.0217391304347826,Alto,Muy Buena,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
PAILITAS,20517000,CESAR,175,35,140,152,15,0.7987421383647799,8.959399,-73.625825,0.8685714285714285,0.0857142857142857,Muy Alto,Mala,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
PAIME,25518000,CUNDINAMARCA,2,0,2,15,0,1.0,5.370487,-74.152213,7.5,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PAIPA,15516000,BOYACA,45,18,27,78,4,0.6071428571428571,5.779894,-73.11782,1.7333333333333334,0.0888888888888888,Alto,Muy Buena,0 (sub 1),"Cluster de intensidad delictiva media-alta, recuperacion media-baja y predominio de motos",4.0
PAJARITO,15518000,BOYACA,10,2,8,18,4,0.8,5.293783,-72.703231,1.8,0.4,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PALERMO,41524000,HUILA,428,21,407,107,10,0.9515455304928988,2.889649,-75.435296,0.25,0.0233644859813084,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
PALESTINA,41530000,CALDAS,58,12,46,47,2,0.7857142857142857,1.7237249999999995,-76.133251,0.8103448275862069,0.0344827586206896,Alto,Mala,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
PALESTINA,41530000,HUILA,168,3,165,92,16,0.981012658227848,1.723725,-76.133251,0.5476190476190477,0.0952380952380952,Muy Alto,Grave,4,"Cluster de intensidad delictiva media, alta recuperacion y predominio de motos",5.0
PALMAR,68522000,SANTANDER,0,0,0,2,1,,6.537789,-73.29109,,,Leve,,,,
PALMAR DE VARELA,8520000,ATLANTICO,107,25,82,99,14,0.7619047619047619,10.738591,-74.754765,0.9252336448598132,0.1308411214953271,Alto,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
PALMAS DEL SOCORRO,68524000,SANTANDER,0,0,0,1,0,,6.406139,-73.287764,,,Leve,,,,
PALMIRA,76520000,VALLE,6527,867,5660,3248,387,0.872341795793243,3.531544,-76.298846,0.4976252489658342,0.0592921709820744,Muy Alto,Grave,2,"Cluster de muy alta intensidad delictiva, baja recuperacion y predominio de motos",2.0
PALMITO,70523000,SUCRE,36,4,32,27,6,0.8888888888888888,9.333157,-75.541264,0.75,0.1666666666666666,Moderado,Mala,5,"Cluster de baja intensidad delictiva, recuperacion media-baja y predominio de motos",7.0
PALOCABILDO,73520000,TOLIMA,33,4,29,42,6,0.875,5.120918,-75.022167,1.2727272727272727,0.1818181818181818,Moderado,Buena,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
PAMPLONA,54518000,NORTE DE SANTANDER,154,34,120,167,22,0.7721088435374149,7.372802,-72.647714,1.0844155844155845,0.1428571428571428,Muy Alto,Buena,6,"Cluster de alta intensidad delictiva, recuperacion media y predominio de motos",3.0
PAMPLONITA,54520000,NORTE DE SANTANDER,11,3,8,26,2,0.7272727272727273,7.436745,-72.639111,2.363636363636364,0.1818181818181818,Moderado,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PANDI,25524000,CUNDINAMARCA,11,3,8,16,2,0.7272727272727273,4.190393,-74.486641,1.4545454545454546,0.1818181818181818,Moderado,Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PANQUEBA,15522000,BOYACA,1,0,1,3,2,1.0,6.443416,-72.459424,3.0,2.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PARAMO,68533000,SANTANDER,4,0,4,7,0,1.0,6.416810999999999,-73.17022,1.75,0.0,Leve,Muy Buena,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PARATEBUENO,25530000,CUNDINAMARCA,39,5,34,61,10,0.868421052631579,4.374832,-73.212825,1.564102564102564,0.2564102564102564,Moderado,Buena,0 (sub 2),"Cluster de intensidad delictiva media, recuperacion alta y predominio de motos",6.0
PASCA,25535000,CUNDINAMARCA,45,4,41,22,0,0.902439024390244,4.308979,-74.302276,0.4888888888888889,0.0,Alto,Grave,1,"Cluster de muy baja intensidad delictiva, muy alta recuperacion y predominio de motos",9.0
PASTO (CT),52001000,NARINO,9615,1636,7979,5139,933,0.8289735509588451,1.212352,-77.278795,0.5344773790951638,0.0970358814352574,Muy Alto,Grave,cluster_extremo,Cluster de ciudades principales con intensidad delictiva extrema,1.0
